application_number,filing_date,uspc_class,cpc4,inventor_name_first,inventor_name_middle,inventor_name_last,inventor_rank,inventor_region_code,inventor_country_code
11386707,23/03/06,706,G03F,junya,,kiyohara,2,,JP
11386707,23/03/06,706,G03F,isao,,ono,3,,JP
11389086,27/03/06,706,G06F,takayuki,,nakata,1,,JP
11389086,27/03/06,706,G06F,junichi,,takeuchi,2,,JP
11396836,03/04/06,706,G05D,katsuki,,minamino,2,,JP
11396836,03/04/06,706,G05D,hideki,,shimomura,3,,JP
11396836,03/04/06,706,G05D,kazumi,,aoyama,1,,JP
11397148,04/04/06,706,B25J,jun,,tani,4,,JP
11397148,04/04/06,706,B25J,masato,,ito,1,,JP
11397148,04/04/06,706,B25J,yukiko,,yoshiike,2,,JP
11397148,04/04/06,706,B25J,kuniaki,,noda,3,,JP
11397299,04/04/06,706,G06N,hideki,,shimomura,3,,JP
11397299,04/04/06,706,G06N,kazumi,,aoyama,1,,JP
11397299,04/04/06,706,G06N,katsuki,,minamino,2,,JP
11403754,13/04/06,706,G06F,tadashi,,matsuda,1,,JP
11409072,24/04/06,706,G06F,hiroshi,,sato,1,,JP
11412088,27/04/06,706,G06N,yoshiko,,yamashita,1,,JP
11412088,27/04/06,706,G06N,tsutomu,,osoda,2,,JP
11412088,27/04/06,706,G06N,yukiko,,kuroiwa,3,,JP
11412088,27/04/06,706,G06N,minoru,,asogawa,4,,JP
11414968,01/05/06,706,G06N,takafumi,,terasawa,1,,JP
11430133,09/05/06,706,G06N,masakazu,,matsugu,1,,JP
11432487,12/05/06,706,G06Q,hideaki,,kosha,1,,JP
11434779,17/05/06,706,G06N,takashi,,morie,2,,JP
11434779,17/05/06,706,G06N,teppei,,nakano,3,,JP
11434779,17/05/06,706,G06N,osamu,,nomura,1,,JP
11436142,16/05/06,706,G06F,tsunayuki,,ohwa,3,,JP
11436142,16/05/06,706,G06F,takashi,,usuki,5,,JP
11443517,30/05/06,706,G05B,tsuyoshi,,ide,1,,JP
11448341,07/06/06,706,G05B,koji,,morikawa,1,,JP
11448983,08/06/06,706,G06N,hisaaki,,hatano,1,,JP
11448983,08/06/06,706,G06N,akihiko,,nakase,4,,JP
11448983,08/06/06,706,G06N,chie,,morita,3,,JP
11448983,08/06/06,706,G06N,kazuto,,kubota,2,,JP
11455816,20/06/06,706,G06F,makoto,,uchikado,1,,JP
11455816,20/06/06,706,G06F,kenichi,,oyamada,2,,JP
11457090,12/07/06,706,G06F,takashi,,usuki,4,,JP
11457090,12/07/06,706,G06F,tsunayuki,,ohwa,2,,JP
11457115,12/07/06,706,G06F,tsunayuki,,ohwa,2,,JP
11457115,12/07/06,706,G06F,takashi,,usuki,4,,JP
11459153,21/07/06,706,G06F,shigeru,,saito,1,,JP
11467056,24/08/06,706,A61B,satoru,,makino,3,,JP
11467056,24/08/06,706,A61B,hiroaki,,suzuki,2,,JP
11467056,24/08/06,706,A61B,kiyoji,,muramatsu,1,,JP
11472036,21/06/06,706,G10L,tsutomu,,sawada,1,,JP
11473127,23/06/06,706,G06N,yukio,,fuji,1,,JP
11482929,10/07/06,706,G06N,kazuho,,maeda,1,,JP
11489508,20/07/06,706,G05B,yuji,,yasui,1,,JP
11489508,20/07/06,706,G05B,michihiko,,matsumoto,3,,JP
11489508,20/07/06,706,G05B,akihiro,,shinjo,2,,JP
11496718,01/08/06,706,G06Q,minoru,,nakatsugawa,1,,JP
